id,teochew_char,teochew_pengim,thai_meaning,english_meaning,mandarin_char,mandarin_pinyin,category,verified,notes,created_at
a0000001-0000-0000-0000-000000000034,阿叔,a zeg,ลุง (น้องชายพ่อ),uncle (father's younger brother),叔叔,shūshu,ครอบครัว,true,,2024-01-01 00:00:33+00
a0000001-0000-0000-0000-000000000035,阿姆,a ḿ,ป้า,aunt,阿姨,āyí,ครอบครัว,true,,2024-01-01 00:00:34+00
a0000001-0000-0000-0000-000000000036,头,tâo,หัว,head,头,tóu,ร่างกาย,true,"ใช้เป็นคำต่อท้ายได้หลายคำ เช่น 石头 日头",2024-01-01 00:00:35+00
a0000001-0000-0000-0000-000000000037,目,ma̍g,ตา,eye,眼睛,yǎnjing,ร่างกาย,true,,2024-01-01 00:00:36+00
a0000001-0000-0000-0000-000000000038,耳,hǐn,หู,ear,耳朵,ěrduo,ร่างกาย,true,,2024-01-01 00:00:37+00
a0000001-0000-0000-0000-000000000039,鼻,pīn,จมูก,nose,鼻子,bízi,ร่างกาย,true,,2024-01-01 00:00:38+00
a0000001-0000-0000-0000-000000000040,嘴,cuì,ปาก,mouth,嘴巴,zuǐba,ร่างกาย,true,,2024-01-01 00:00:39+00
a0000001-0000-0000-0000-000000000041,手,ciú,มือ,hand,手,shǒu,ร่างกาย,true,,2024-01-01 00:00:40+00
a0000001-0000-0000-0000-000000000042,脚,ka,ขา/เท้า,leg / foot,脚/腿,jiǎo/tuǐ,ร่างกาย,true,,2024-01-01 00:00:41+00
a0000001-0000-0000-0000-000000000043,腹肚,bag dóu,ท้อง,stomach / belly,肚子,dùzi,ร่างกาย,true,,2024-01-01 00:00:42+00
a0000001-0000-0000-0000-000000000044,心,sim,หัวใจ,heart,心,xīn,ร่างกาย,true,"ใช้ในความหมายทั้งอวัยวะและจิตใจ",2024-01-01 00:00:43+00
a0000001-0000-0000-0000-000000000045,面,mīn,หน้า,face,脸,liǎn,ร่างกาย,true,,2024-01-01 00:00:44+00
a0000001-0000-0000-0000-000000000046,齿,kí,ฟัน,tooth,牙齿,yáchǐ,ร่างกาย,true,,2024-01-01 00:00:45+00
a0000001-0000-0000-0000-000000000047,舌,zi̍h,ลิ้น,tongue,舌头,shétou,ร่างกาย,true,,2024-01-01 00:00:46+00
a0000001-0000-0000-0000-000000000048,头毛,tâo mô,ผม,hair (head),头发,tóufa,ร่างกาย,true,,2024-01-01 00:00:47+00
a0000001-0000-0000-0000-000000000049,颈,gén,คอ,neck,脖子,bózi,ร่างกาย,true,,2024-01-01 00:00:48+00
a0000001-0000-0000-0000-000000000050,肩头,goih tâo,ไหล่,shoulder,肩膀,jiānbǎng,ร่างกาย,true,,2024-01-01 00:00:49+00
a0000001-0000-0000-0000-000000000051,骨,gug,กระดูก,bone,骨头,gǔtou,ร่างกาย,true,,2024-01-01 00:00:50+00
a0000001-0000-0000-0000-000000000052,血,hueh,เลือด,blood,血,xuè,ร่างกาย,true,,2024-01-01 00:00:51+00
a0000001-0000-0000-0000-000000000053,皮,puê,ผิวหนัง,skin,皮肤,pífū,ร่างกาย,true,,2024-01-01 00:00:52+00
a0000001-0000-0000-0000-000000000054,指头,zóin tâo,นิ้วมือ,finger,手指,shǒuzhǐ,ร่างกาย,true,,2024-01-01 00:00:53+00
a0000001-0000-0000-0000-000000000055,背,bòi,หลัง,back (body),背,bèi,ร่างกาย,true,,2024-01-01 00:00:54+00
a0000001-0000-0000-0000-000000000056,食,zia̍h,กิน,eat,吃,chī,กริยา,true,"คำพื้นฐานที่ใช้บ่อยที่สุด",2024-01-01 00:00:55+00
a0000001-0000-0000-0000-000000000057,饮,lim,ดื่ม,drink,喝,hē,กริยา,true,,2024-01-01 00:00:56+00
a0000001-0000-0000-0000-000000000058,行,giân,เดิน,walk,走,zǒu,กริยา,true,,2024-01-01 00:00:57+00
a0000001-0000-0000-0000-000000000059,走,záo,วิ่ง,run,跑,pǎo,กริยา,true,"ในแต้จิ๋ว 走 แปลว่าวิ่ง ไม่ใช่เดิน",2024-01-01 00:00:58+00
a0000001-0000-0000-0000-000000000060,来,lâi,มา,come,来,lái,กริยา,true,,2024-01-01 00:00:59+00
a0000001-0000-0000-0000-000000000061,去,kè,ไป,go,去,qù,กริยา,true,,2024-01-01 00:01:00+00
a0000001-0000-0000-0000-000000000062,看,tóin,ดู/เห็น,see / look,看,kàn,กริยา,true,,2024-01-01 00:01:01+00
a0000001-0000-0000-0000-000000000063,听,tian,ฟัง/ได้ยิน,hear / listen,听,tīng,กริยา,true,,2024-01-01 00:01:02+00
a0000001-0000-0000-0000-000000000064,说,dàn,พูด,speak / say,说,shuō,กริยา,true,,2024-01-01 00:01:03+00
a0000001-0000-0000-0000-000000000065,买,bhói,ซื้อ,buy,买,mǎi,กริยา,true,,2024-01-01 00:01:04+00
a0000001-0000-0000-0000-000000000066,卖,bhōi,ขาย,sell,卖,mài,กริยา,true,"ออกเสียงใกล้เคียง 买 แต่คนละวรรณยุกต์",2024-01-01 00:01:05+00
a0000001-0000-0000-0000-000000000067,乞,kig,ให้,give,给,gěi,กริยา,true,,2024-01-01 00:01:06+00
a0000001-0000-0000-0000-000000000068,拿,te,เอา/ถือ,take / hold,拿,ná,กริยา,true,,2024-01-01 00:01:07+00
a0000001-0000-0000-0000-000000000069,睏,kùng,นอน,sleep,睡觉,shuìjiào,กริยา,true,,2024-01-01 00:01:08+00
a0000001-0000-0000-0000-000000000070,醒,cén,ตื่น,wake up,醒,xǐng,กริยา,true,,2024-01-01 00:01:09+00
a0000001-0000-0000-0000-000000000071,做,zò,ทำ,do / make,做,zuò,กริยา,true,,2024-01-01 00:01:10+00
a0000001-0000-0000-0000-000000000072,爱,àin,รัก/ต้องการ,love / want,爱/要,ài/yào,กริยา,true,"ใช้ได้ทั้งความหมายรักและต้องการ",2024-01-01 00:01:11+00
a0000001-0000-0000-0000-000000000073,识,bag,รู้จัก,know (a person/thing),认识,rènshi,กริยา,true,,2024-01-01 00:01:12+00
a0000001-0000-0000-0000-000000000074,知,zai,รู้,know (a fact),知道,zhīdào,กริยา,true,,2024-01-01 00:01:13+00
a0000001-0000-0000-0000-000000000075,想,siún,คิด/คิดถึง,think / miss,想,xiǎng,กริยา,true,,2024-01-01 00:01:14+00
a0000001-0000-0000-0000-000000000076,等,dán,รอ,wait,等,děng,กริยา,true,,2024-01-01 00:01:15+00
a0000001-0000-0000-0000-000000000077,开,kui,เปิด,open,开,kāi,กริยา,true,,2024-01-01 00:01:16+00
a0000001-0000-0000-0000-000000000078,关,gueng,ปิด,close,关,guān,กริยา,true,,2024-01-01 00:01:17+00
a0000001-0000-0000-0000-000000000079,洗,sói,ล้าง,wash,洗,xǐ,กริยา,true,,2024-01-01 00:01:18+00
a0000001-0000-0000-0000-000000000080,煮,zé,ทำอาหาร/ต้ม,cook / boil,煮,zhǔ,กริยา,true,,2024-01-01 00:01:19+00
a0000001-0000-0000-0000-000000000081,用,ēng,ใช้,use,用,yòng,กริยา,true,,2024-01-01 00:01:20+00
a0000001-0000-0000-0000-000000000082,笑,ciò,หัวเราะ,laugh / smile,笑,xiào,กริยา,true,,2024-01-01 00:01:21+00
a0000001-0000-0000-0000-000000000083,哭,kào,ร้องไห้,cry,哭,kū,กริยา,true,,2024-01-01 00:01:22+00
a0000001-0000-0000-0000-000000000084,返,déng,กลับ,return,回,huí,กริยา,true,,2024-01-01 00:01:23+00
a0000001-0000-0000-0000-000000000085,找,cuē,หา,look for / find,找,zhǎo,กริยา,true,,2024-01-01 00:01:24+00
a0000001-0000-0000-0000-000000000086,大,duā,ใหญ่,big,大,dà,คำคุณศัพท์,true,,2024-01-01 00:01:25+00
a0000001-0000-0000-0000-000000000087,细,sòi,เล็ก,small,小,xiǎo,คำคุณศัพท์,true,"ในแต้จิ๋วใช้ 细 แทน 小",2024-01-01 00:01:26+00
a0000001-0000-0000-0000-000000000088,好,hó,ดี,good,好,hǎo,คำคุณศัพท์,true,,2024-01-01 00:01:27+00
a0000001-0000-0000-0000-000000000089,歹,pái,ไม่ดี/เลว,bad,坏,huài,คำคุณศัพท์,true,,2024-01-01 00:01:28+00
a0000001-0000-0000-0000-000000000090,热,rua̍h,ร้อน,hot,热,rè,คำคุณศัพท์,true,,2024-01-01 00:01:29+00
a0000001-0000-0000-0000-000000000091,寒,guân,หนาว/เย็น,cold,冷,lěng,คำคุณศัพท์,true,,2024-01-01 00:01:30+00
a0000001-0000-0000-0000-000000000092,甜,diâm,หวาน,sweet,甜,tián,คำคุณศัพท์,true,,2024-01-01 00:01:31+00
a0000001-0000-0000-0000-000000000093,苦,kóu,ขม,bitter,苦,kǔ,คำคุณศัพท์,true,,2024-01-01 00:01:32+00
a0000001-0000-0000-0000-000000000094,辣,hua̍h,เผ็ด,spicy,辣,là,คำคุณศัพท์,true,,2024-01-01 00:01:33+00
a0000001-0000-0000-0000-000000000095,酸,seng,เปรี้ยว,sour,酸,suān,คำคุณศัพท์,true,,2024-01-01 00:01:34+00
a0000001-0000-0000-0000-000000000096,新,sing,ใหม่,new,新,xīn,คำคุณศัพท์,true,,2024-01-01 00:01:35+00
a0000001-0000-0000-0000-000000000097,旧,gū,เก่า,old (things),旧,jiù,คำคุณศัพท์,true,,2024-01-01 00:01:36+00
a0000001-0000-0000-0000-000000000098,长,dêng,ยาว,long,长,cháng,คำคุณศัพท์,true,,2024-01-01 00:01:37+00
a0000001-0000-0000-0000-000000000099,短,dói,สั้น,short (length),短,duǎn,คำคุณศัพท์,true,,2024-01-01 00:01:38+00
a0000001-0000-0000-0000-000000000100,高,gao,สูง,tall / high,高,gāo,คำคุณศัพท์,true,,2024-01-01 00:01:39+00
a0000001-0000-0000-0000-000000000101,快,kuài,เร็ว,fast,快,kuài,คำคุณศัพท์,true,,2024-01-01 00:01:40+00
a0000001-0000-0000-0000-000000000102,慢,bān,ช้า,slow,慢,màn,คำคุณศัพท์,true,,2024-01-01 00:01:41+00
a0000001-0000-0000-0000-000000000103,多,zōi,มาก,many / much,多,duō,คำคุณศัพท์,true,,2024-01-01 00:01:42+00
a0000001-0000-0000-0000-000000000104,美,suí,สวย,beautiful,美/漂亮,měi/piàoliang,คำคุณศัพท์,true,,2024-01-01 00:01:43+00
a0000001-0000-0000-0000-000000000105,饱,bá,อิ่ม,full (stomach),饱,bǎo,คำคุณศัพท์,true,"ใช้หลังกินอาหาร",2024-01-01 00:01:44+00
a0000001-0000-0000-0000-000000000106,饭,būng,ข้าว,rice (cooked),饭,fàn,อาหาร,true,,2024-01-01 00:01:45+00
a0000001-0000-0000-0000-000000000107,粥,mue̍h,โจ๊ก,rice porridge,粥,zhōu,อาหาร,true,"อาหารเช้ายอดนิยมของชาวแต้จิ๋ว",2024-01-01 00:01:46+00
a0000001-0000-0000-0000-000000000108,面条,mī,บะหมี่,noodles,面,miàn,อาหาร,true,,2024-01-01 00:01:47+00
a0000001-0000-0000-0000-000000000109,鱼,hê,ปลา,fish,鱼,yú,อาหาร,true,,2024-01-01 00:01:48+00
a0000001-0000-0000-0000-000000000110,肉,ne̍b,เนื้อ,meat,肉,ròu,อาหาร,true,,2024-01-01 00:01:49+00
a0000001-0000-0000-0000-000000000111,猪肉,de ne̍b,เนื้อหมู,pork,猪肉,zhūròu,อาหาร,true,,2024-01-01 00:01:50+00
a0000001-0000-0000-0000-000000000112,鸡,goi,ไก่,chicken,鸡,jī,อาหาร,true,,2024-01-01 00:01:51+00
a0000001-0000-0000-0000-000000000113,鸡卵,goi nēng,ไข่,egg,鸡蛋,jīdàn,อาหาร,true,,2024-01-01 00:01:52+00
a0000001-0000-0000-0000-000000000114,菜,cài,ผัก,vegetable,菜,cài,อาหาร,true,,2024-01-01 00:01:53+00
a0000001-0000-0000-0000-000000000115,豆,dāo,ถั่ว,bean,豆,dòu,อาหาร,true,,2024-01-01 00:01:54+00
a0000001-0000-0000-0000-000000000116,盐,iâm,เกลือ,salt,盐,yán,อาหาร,true,,2024-01-01 00:01:55+00
a0000001-0000-0000-0000-000000000117,糖,têng,น้ำตาล,sugar,糖,táng,อาหาร,true,,2024-01-01 00:01:56+00
a0000001-0000-0000-0000-000000000118,油,iû,น้ำมัน,oil,油,yóu,อาหาร,true,,2024-01-01 00:01:57+00
a0000001-0000-0000-0000-000000000119,豆油,dāo iû,ซีอิ๊ว,soy sauce,酱油,jiàngyóu,อาหาร,true,"เครื่องปรุงสำคัญในอาหารแต้จิ๋ว",2024-01-01 00:01:58+00
a0000001-0000-0000-0000-000000000120,果子,gueh zí,ผลไม้,fruit,水果,shuǐguǒ,อาหาร,true,,2024-01-01 00:01:59+00
a0000001-0000-0000-0000-000000000121,粿条,gueh diâo,ก๋วยเตี๋ยว,flat rice noodles,河粉,héfěn,อาหาร,true,"อาหารขึ้นชื่อของแต้จิ๋ว",2024-01-01 00:02:00+00
a0000001-0000-0000-0000-000000000122,薄饼,bo̍h bián,ปอเปี๊ยะ,spring roll,春卷,chūnjuǎn,อาหาร,true,,2024-01-01 00:02:01+00
a0000001-0000-0000-0000-000000000123,蚝烙,ô lua̍h,ออส่วน,oyster omelette,蚝烙,háolào,อาหาร,true,"อาหารแต้จิ๋วชื่อดัง",2024-01-01 00:02:02+00
a0000001-0000-0000-0000-000000000124,鱼丸,hê în,ลูกชิ้นปลา,fish ball,鱼丸,yúwán,อาหาร,true,,2024-01-01 00:02:03+00
a0000001-0000-0000-0000-000000000125,卤鹅,lóu ghô,ห่านพะโล้,braised goose,卤鹅,lǔé,อาหาร,true,"อาหารขึ้นชื่อมากของแต้จิ๋ว",2024-01-01 00:02:04+00
a0000001-0000-0000-0000-000000000126,茶,dê,ชา,tea,茶,chá,เครื่องดื่ม,true,"วัฒนธรรมชาเป็นหัวใจของชาวแต้จิ๋ว",2024-01-01 00:02:05+00
a0000001-0000-0000-0000-000000000127,水,zuí,น้ำ,water,水,shuǐ,เครื่องดื่ม,true,,2024-01-01 00:02:06+00
a0000001-0000-0000-0000-000000000128,酒,ziú,เหล้า/สุรา,alcohol / wine,酒,jiǔ,เครื่องดื่ม,true,,2024-01-01 00:02:07+00
a0000001-0000-0000-0000-000000000129,牛奶,ghû ni,นม,milk,牛奶,niúnǎi,เครื่องดื่ม,true,,2024-01-01 00:02:08+00
a0000001-0000-0000-0000-000000000130,咖啡,gia bi,กาแฟ,coffee,咖啡,kāfēi,เครื่องดื่ม,true,,2024-01-01 00:02:09+00
a0000001-0000-0000-0000-000000000131,豆浆,dāo zion,น้ำเต้าหู้,soy milk,豆浆,dòujiāng,เครื่องดื่ม,true,,2024-01-01 00:02:10+00
a0000001-0000-0000-0000-000000000132,汤,teng,น้ำซุป,soup,汤,tāng,เครื่องดื่ม,true,"ชาวแต้จิ๋วชอบดื่มน้ำซุปมาก",2024-01-01 00:02:11+00
a0000001-0000-0000-0000-000000000133,凉水,liâng zuí,น้ำเย็น,cold water,凉水,liángshuǐ,เครื่องดื่ม,true,,2024-01-01 00:02:12+00
a0000001-0000-0000-0000-000000000134,烧水,sio zuí,น้ำร้อน,hot water,热水,rèshuǐ,เครื่องดื่ม,true,,2024-01-01 00:02:13+00
a0000001-0000-0000-0000-000000000135,甘蔗汁,gam zià zab,น้ำอ้อย,sugarcane juice,甘蔗汁,gānzhèzhī,เครื่องดื่ม,true,,2024-01-01 00:02:14+00
a0000001-0000-0000-0000-000000000136,狗,gáo,สุนัข,dog,狗,gǒu,สัตว์,true,,2024-01-01 00:02:15+00
a0000001-0000-0000-0000-000000000137,猫,niao,แมว,cat,猫,māo,สัตว์,true,,2024-01-01 00:02:16+00
a0000001-0000-0000-0000-000000000138,猪,de,หมู,pig,猪,zhū,สัตว์,true,,2024-01-01 00:02:17+00
a0000001-0000-0000-0000-000000000139,牛,ghû,วัว,cow / ox,牛,niú,สัตว์,true,,2024-01-01 00:02:18+00
a0000001-0000-0000-0000-000000000140,羊,iôn,แพะ/แกะ,goat / sheep,羊,yáng,สัตว์,true,,2024-01-01 00:02:19+00
a0000001-0000-0000-0000-000000000141,鸟,ziáo,นก,bird,鸟,niǎo,สัตว์,true,,2024-01-01 00:02:20+00
a0000001-0000-0000-0000-000000000142,虫,tâng,แมลง,insect / bug,虫,chóng,สัตว์,true,,2024-01-01 00:02:21+00
a0000001-0000-0000-0000-000000000143,蛇,zuâ,งู,snake,蛇,shé,สัตว์,true,,2024-01-01 00:02:22+00
a0000001-0000-0000-0000-000000000144,鹅,ghô,ห่าน,goose,鹅,é,สัตว์,true,"ห่านเป็นสัตว์สำคัญในวัฒนธรรมแต้จิ๋ว",2024-01-01 00:02:23+00
a0000001-0000-0000-0000-000000000145,鸭,ah,เป็ด,duck,鸭,yā,สัตว์,true,,2024-01-01 00:02:24+00
a0000001-0000-0000-0000-000000000146,马,bhué,ม้า,horse,马,mǎ,สัตว์,true,,2024-01-01 00:02:25+00
a0000001-0000-0000-0000-000000000147,蚁,hiā,มด,ant,蚂蚁,mǎyǐ,สัตว์,true,,2024-01-01 00:02:26+00
a0000001-0000-0000-0000-000000000148,蚊,bhâng,ยุง,mosquito,蚊子,wénzi,สัตว์,true,,2024-01-01 00:02:27+00
a0000001-0000-0000-0000-000000000149,虾,hôi,กุ้ง,shrimp,虾,xiā,สัตว์,true,,2024-01-01 00:02:28+00
a0000001-0000-0000-0000-000000000150,蟹,hǒi,ปู,crab,螃蟹,pángxiè,สัตว์,true,,2024-01-01 00:02:29+00
a0000001-0000-0000-0000-000000000151,天,tin,ท้องฟ้า,sky / heaven,天,tiān,ธรรมชาติ,true,,2024-01-01 00:02:30+00
a0000001-0000-0000-0000-000000000152,地,dī,พื้นดิน,ground / earth,地,dì,ธรรมชาติ,true,,2024-01-01 00:02:31+00
a0000001-0000-0000-0000-000000000153,日,ri̍g,ดวงอาทิตย์/วัน,sun / day,日/太阳,rì/tàiyáng,ธรรมชาติ,true,,2024-01-01 00:02:32+00
a0000001-0000-0000-0000-000000000154,月,ghue̍h,ดวงจันทร์/เดือน,moon / month,月/月亮,yuè/yuèliang,ธรรมชาติ,true,,2024-01-01 00:02:33+00
a0000001-0000-0000-0000-000000000155,星,cen,ดาว,star,星星,xīngxing,ธรรมชาติ,true,,2024-01-01 00:02:34+00
a0000001-0000-0000-0000-000000000156,风,huang,ลม,wind,风,fēng,ธรรมชาติ,true,,2024-01-01 00:02:35+00
a0000001-0000-0000-0000-000000000157,雨,hǒu,ฝน,rain,雨,yǔ,ธรรมชาติ,true,,2024-01-01 00:02:36+00
a0000001-0000-0000-0000-000000000158,山,suan,ภูเขา,mountain,山,shān,ธรรมชาติ,true,,2024-01-01 00:02:37+00
a0000001-0000-0000-0000-000000000159,海,hái,ทะเล,sea,海,hǎi,ธรรมชาติ,true,"แต้จิ๋วอยู่ติดทะเล",2024-01-01 00:02:38+00
a0000001-0000-0000-0000-000000000160,溪,koi,ลำธาร,stream / river,溪,xī,ธรรมชาติ,true,,2024-01-01 00:02:39+00
a0000001-0000-0000-0000-000000000161,花,hue,ดอกไม้,flower,花,huā,ธรรมชาติ,true,,2024-01-01 00:02:40+00
a0000001-0000-0000-0000-000000000162,树,ciū,ต้นไม้,tree,树,shù,ธรรมชาติ,true,,2024-01-01 00:02:41+00
a0000001-0000-0000-0000-000000000163,火,hué,ไฟ,fire,火,huǒ,ธรรมชาติ,true,,2024-01-01 00:02:42+00
a0000001-0000-0000-0000-000000000164,石头,zio̍h tâo,หิน,"stone / rock",石头,shítou,ธรรมชาติ,true,,2024-01-01 00:02:43+00
a0000001-0000-0000-0000-000000000165,今日,gim ri̍g,วันนี้,today,今天,jīntiān,เวลา,true,,2024-01-01 00:02:44+00
a0000001-0000-0000-0000-000000000166,昨日,za ri̍g,เมื่อวาน,yesterday,昨天,zuótiān,เวลา,true,,2024-01-01 00:02:45+00
a0000001-0000-0000-0000-000000000167,明日,ma ri̍g,พรุ่งนี้,tomorrow,明天,míngtiān,เวลา,true,,2024-01-01 00:02:46+00
a0000001-0000-0000-0000-000000000168,早起,zá kí,ตอนเช้า,morning,早上,zǎoshang,เวลา,true,,2024-01-01 00:02:47+00
a0000001-0000-0000-0000-000000000169,暗时,àm sî,ตอนเย็น/กลางคืน,evening / night,晚上,wǎnshang,เวลา,true,,2024-01-01 00:02:48+00
a0000001-0000-0000-0000-000000000170,现在,hěng zǎi,ตอนนี้,now,现在,xiànzài,เวลา,true,,2024-01-01 00:02:49+00
a0000001-0000-0000-0000-000000000171,旧年,gū nî,ปีที่แล้ว,last year,去年,qùnián,เวลา,true,,2024-01-01 00:02:50+00
a0000001-0000-0000-0000-000000000172,明年,ma nî,ปีหน้า,next year,明年,míngnián,เวลา,true,,2024-01-01 00:02:51+00
a0000001-0000-0000-0000-000000000173,拜一,bài ig,วันจันทร์,Monday,星期一,xīngqīyī,เวลา,true,,2024-01-01 00:02:52+00
a0000001-0000-0000-0000-000000000174,年,nî,ปี,year,年,nián,เวลา,true,,2024-01-01 00:02:53+00
a0000001-0000-0000-0000-000000000175,厝,cù,บ้าน,house / home,家/房子,jiā/fángzi,สถานที่,true,"คำแต้จิ๋วที่ใช้บ่อยมาก",2024-01-01 00:02:54+00
a0000001-0000-0000-0000-000000000176,学堂,o̍h dêng,โรงเรียน,school,学校,xuéxiào,สถานที่,true,,2024-01-01 00:02:55+00
a0000001-0000-0000-0000-000000000177,街,goi,ถนน,street,街,jiē,สถานที่,true,,2024-01-01 00:02:56+00
a0000001-0000-0000-0000-000000000178,市场,cī diôn,ตลาด,market,市场,shìchǎng,สถานที่,true,,2024-01-01 00:02:57+00
a0000001-0000-0000-0000-000000000179,病院,bēn īn,โรงพยาบาล,hospital,医院,yīyuàn,สถานที่,true,,2024-01-01 00:02:58+00
a0000001-0000-0000-0000-000000000180,欢喜,huan hí,ดีใจ/ยินดี,happy / glad,高兴,gāoxìng,อารมณ์,true,,2024-01-01 00:02:59+00
a0000001-0000-0000-0000-000000000181,受气,siǔ kì,โกรธ,angry,生气,shēngqì,อารมณ์,true,,2024-01-01 00:03:00+00
a0000001-0000-0000-0000-000000000182,惊,gian,กลัว,afraid / scared,害怕,hàipà,อารมณ์,true,,2024-01-01 00:03:01+00
a0000001-0000-0000-0000-000000000183,忧,iu,เศร้า/กังวล,sad / worried,忧愁,yōuchóu,อารมณ์,true,"ใช้ได้ทั้งเศร้าและกังวล",2024-01-01 00:03:02+00
a0000001-0000-0000-0000-000000000184,无聊,bhô liâo,เบื่อ,bored,无聊,wúliáo,อารมณ์,true,,2024-01-01 00:03:03+00
a0000001-0000-0000-0000-000000000185,见笑,gìn siò,อาย,shy / embarrassed,害羞,hàixiū,อารมณ์,true,"คำแต้จิ๋วที่น่าสนใจ แปลตรงตัวว่าเห็นแล้วหัวเราะ",2024-01-01 00:03:04+00
