id,word_id,teochew_char,teochew_pengim,thai_meaning,english_meaning,sort_order
b0000001-0000-0000-0000-000000000037,a0000001-0000-0000-0000-000000000035,阿姆煮食,a ḿ zé zia̍h,ป้าทำอาหาร,aunt cooks,0
b0000001-0000-0000-0000-000000000038,a0000001-0000-0000-0000-000000000036,头痛,tâo tiàn,ปวดหัว,headache,0
b0000001-0000-0000-0000-000000000039,a0000001-0000-0000-0000-000000000037,目看物,ma̍g tóin muê̍h,ตาดูของ,eyes see things,0
b0000001-0000-0000-0000-000000000040,a0000001-0000-0000-0000-000000000038,耳听声,hǐn tian sian,หูฟังเสียง,ears hear sound,0
b0000001-0000-0000-0000-000000000041,a0000001-0000-0000-0000-000000000039,鼻闻着,pīn phang dio̍h,จมูกได้กลิ่น,nose smells,0
b0000001-0000-0000-0000-000000000042,a0000001-0000-0000-0000-000000000040,嘴食物,cuì zia̍h muê̍h,ปากกินของ,mouth eats things,0
b0000001-0000-0000-0000-000000000043,a0000001-0000-0000-0000-000000000041,手洗净,ciú sói ziān,ล้างมือสะอาด,wash hands clean,0
b0000001-0000-0000-0000-000000000044,a0000001-0000-0000-0000-000000000041,手提物,ciú te muê̍h,มือถือของ,hand holds things,1
b0000001-0000-0000-0000-000000000045,a0000001-0000-0000-0000-000000000042,脚行路,ka giân lōu,เท้าเดินทาง,feet walk the road,0
b0000001-0000-0000-0000-000000000046,a0000001-0000-0000-0000-000000000043,腹肚痛,bag dóu tiàn,ปวดท้อง,stomachache,0
b0000001-0000-0000-0000-000000000047,a0000001-0000-0000-0000-000000000044,心肝好,sim guan hó,ใจดี,kind-hearted,0
b0000001-0000-0000-0000-000000000048,a0000001-0000-0000-0000-000000000044,心知,sim zai,ใจรู้/เข้าใจ,heart knows / understand,1
b0000001-0000-0000-0000-000000000049,a0000001-0000-0000-0000-000000000045,面红红,mīn âng âng,หน้าแดง,face is red,0
b0000001-0000-0000-0000-000000000050,a0000001-0000-0000-0000-000000000046,齿痛,kí tiàn,ปวดฟัน,toothache,0
b0000001-0000-0000-0000-000000000051,a0000001-0000-0000-0000-000000000047,舌甜,zi̍h diâm,ลิ้นหวาน/พูดเพราะ,sweet-tongued / flattering,0
b0000001-0000-0000-0000-000000000052,a0000001-0000-0000-0000-000000000048,头毛长,tâo mô dêng,ผมยาว,long hair,0
b0000001-0000-0000-0000-000000000053,a0000001-0000-0000-0000-000000000049,颈长,gén dêng,คอยาว,long neck,0
b0000001-0000-0000-0000-000000000054,a0000001-0000-0000-0000-000000000050,肩头阔,goih tâo kuah,ไหล่กว้าง,broad shoulders,0
b0000001-0000-0000-0000-000000000055,a0000001-0000-0000-0000-000000000051,骨头硬,gug tâo ngē,กระดูกแข็ง,bones are hard,0
b0000001-0000-0000-0000-000000000056,a0000001-0000-0000-0000-000000000052,流血,lâo hueh,เลือดไหล,bleeding,0
b0000001-0000-0000-0000-000000000057,a0000001-0000-0000-0000-000000000053,皮白,puê be̍h,ผิวขาว,fair skin,0
b0000001-0000-0000-0000-000000000058,a0000001-0000-0000-0000-000000000054,指头细,zóin tâo sòi,นิ้วเล็ก,small fingers,0
b0000001-0000-0000-0000-000000000059,a0000001-0000-0000-0000-000000000055,背痛,bòi tiàn,ปวดหลัง,back pain,0
b0000001-0000-0000-0000-000000000060,a0000001-0000-0000-0000-000000000056,食饭,zia̍h būng,กินข้าว,eat rice,0
b0000001-0000-0000-0000-000000000061,a0000001-0000-0000-0000-000000000056,食饱未,zia̍h bá bhueh,กินอิ่มยัง,have you eaten?,1
b0000001-0000-0000-0000-000000000062,a0000001-0000-0000-0000-000000000057,饮茶,lim dê,ดื่มชา,drink tea,0
b0000001-0000-0000-0000-000000000063,a0000001-0000-0000-0000-000000000057,饮水,lim zuí,ดื่มน้ำ,drink water,1
b0000001-0000-0000-0000-000000000064,a0000001-0000-0000-0000-000000000058,行路,giân lōu,เดินทาง,walk on the road,0
b0000001-0000-0000-0000-000000000065,a0000001-0000-0000-0000-000000000059,走紧,záo gín,วิ่งเร็ว,run fast,0
b0000001-0000-0000-0000-000000000066,a0000001-0000-0000-0000-000000000060,来食,lâi zia̍h,มากิน,come eat,0
b0000001-0000-0000-0000-000000000067,a0000001-0000-0000-0000-000000000060,来这,lâi zí,มานี่,come here,1
b0000001-0000-0000-0000-000000000068,a0000001-0000-0000-0000-000000000061,去市场,kè cī diôn,ไปตลาด,go to market,0
b0000001-0000-0000-0000-000000000069,a0000001-0000-0000-0000-000000000062,看戏,tóin hì,ดูหนัง/ดูละคร,watch a show,0
b0000001-0000-0000-0000-000000000070,a0000001-0000-0000-0000-000000000063,听歌,tian gua,ฟังเพลง,listen to music,0
b0000001-0000-0000-0000-000000000071,a0000001-0000-0000-0000-000000000064,说话,dàn ue̍h,พูดคุย,speak / talk,0
b0000001-0000-0000-0000-000000000072,a0000001-0000-0000-0000-000000000065,买菜,bhói cài,ซื้อผัก,buy vegetables,0
b0000001-0000-0000-0000-000000000073,a0000001-0000-0000-0000-000000000065,买物,bhói mue̍h,ซื้อของ,buy things,1
b0000001-0000-0000-0000-000000000074,a0000001-0000-0000-0000-000000000066,卖鱼,bhōi hê,ขายปลา,sell fish,0
b0000001-0000-0000-0000-000000000075,a0000001-0000-0000-0000-000000000067,乞伊,kig i,ให้เขา,give to him/her,0
b0000001-0000-0000-0000-000000000076,a0000001-0000-0000-0000-000000000068,拿来,te lâi,เอามา,bring (it) here,0
b0000001-0000-0000-0000-000000000077,a0000001-0000-0000-0000-000000000069,睏落去,kùng lo̍h kè,นอนหลับไป,fall asleep,0
b0000001-0000-0000-0000-000000000078,a0000001-0000-0000-0000-000000000070,醒来,cén lâi,ตื่นขึ้น,wake up,0
b0000001-0000-0000-0000-000000000079,a0000001-0000-0000-0000-000000000071,做工,zò gang,ทำงาน,work,0
b0000001-0000-0000-0000-000000000080,a0000001-0000-0000-0000-000000000071,做好,zò hó,ทำให้ดี,do well,1
b0000001-0000-0000-0000-000000000081,a0000001-0000-0000-0000-000000000072,爱食,àin zia̍h,อยากกิน,want to eat,0
b0000001-0000-0000-0000-000000000082,a0000001-0000-0000-0000-000000000073,识字,bag rī,รู้จักตัวอักษร,know characters (literate),0
b0000001-0000-0000-0000-000000000083,a0000001-0000-0000-0000-000000000074,知影,zai ián,รู้/ทราบ,know / be aware,0
b0000001-0000-0000-0000-000000000084,a0000001-0000-0000-0000-000000000075,想厝,siún cù,คิดถึงบ้าน,miss home,0
b0000001-0000-0000-0000-000000000085,a0000001-0000-0000-0000-000000000075,想着,siún dio̍h,คิดถึง,think of / miss,1
b0000001-0000-0000-0000-000000000086,a0000001-0000-0000-0000-000000000076,等一下,dán ig ē,รอสักครู่,wait a moment,0
b0000001-0000-0000-0000-000000000087,a0000001-0000-0000-0000-000000000077,开门,kui mûng,เปิดประตู,open the door,0
b0000001-0000-0000-0000-000000000088,a0000001-0000-0000-0000-000000000078,关门,gueng mûng,ปิดประตู,close the door,0
b0000001-0000-0000-0000-000000000089,a0000001-0000-0000-0000-000000000079,洗衫,sói san,ซักเสื้อผ้า,wash clothes,0
b0000001-0000-0000-0000-000000000090,a0000001-0000-0000-0000-000000000080,煮食,zé zia̍h,ทำอาหาร,cook food,0
b0000001-0000-0000-0000-000000000091,a0000001-0000-0000-0000-000000000081,用钱,ēng zîn,ใช้เงิน,spend money,0
b0000001-0000-0000-0000-000000000092,a0000001-0000-0000-0000-000000000082,笑微微,ciò bhî bhî,ยิ้มน้อยๆ,smile gently,0
b0000001-0000-0000-0000-000000000093,a0000001-0000-0000-0000-000000000083,哭到目汁流,kào gào ma̍g zab lâo,ร้องไห้น้ำตาไหล,cry until tears flow,0
b0000001-0000-0000-0000-000000000094,a0000001-0000-0000-0000-000000000084,返厝,déng cù,กลับบ้าน,go home,0
b0000001-0000-0000-0000-000000000095,a0000001-0000-0000-0000-000000000085,找人,cuē náng,หาคน,look for someone,0
b0000001-0000-0000-0000-000000000096,a0000001-0000-0000-0000-000000000086,大人,duā náng,ผู้ใหญ่,adult,0
b0000001-0000-0000-0000-000000000097,a0000001-0000-0000-0000-000000000086,大间厝,duā goih cù,บ้านหลังใหญ่,big house,1
b0000001-0000-0000-0000-000000000098,a0000001-0000-0000-0000-000000000087,细个儿,sòi gâi gián,เด็กเล็ก,small child,0
b0000001-0000-0000-0000-000000000099,a0000001-0000-0000-0000-000000000088,好食,hó zia̍h,อร่อย,delicious,0
b0000001-0000-0000-0000-000000000100,a0000001-0000-0000-0000-000000000088,好看,hó tóin,สวย/ดูดี,good-looking,1
b0000001-0000-0000-0000-000000000101,a0000001-0000-0000-0000-000000000089,歹势,pái sè,ขอโทษ/เสียใจ,sorry / excuse me,0
b0000001-0000-0000-0000-000000000102,a0000001-0000-0000-0000-000000000090,天热,tin rua̍h,อากาศร้อน,the weather is hot,0
b0000001-0000-0000-0000-000000000103,a0000001-0000-0000-0000-000000000091,天寒,tin guân,อากาศหนาว,the weather is cold,0
b0000001-0000-0000-0000-000000000104,a0000001-0000-0000-0000-000000000092,甜粿,diâm gueh,ขนมหวาน,sweet rice cake,0
b0000001-0000-0000-0000-000000000105,a0000001-0000-0000-0000-000000000093,苦瓜,kóu gue,มะระ,bitter gourd,0
b0000001-0000-0000-0000-000000000106,a0000001-0000-0000-0000-000000000094,辣椒,hua̍h zio,พริก,chili pepper,0
b0000001-0000-0000-0000-000000000107,a0000001-0000-0000-0000-000000000095,酸梅,seng bhuêh,บ๊วย,sour plum,0
b0000001-0000-0000-0000-000000000108,a0000001-0000-0000-0000-000000000096,新衫,sing san,เสื้อใหม่,new clothes,0
b0000001-0000-0000-0000-000000000109,a0000001-0000-0000-0000-000000000097,旧厝,gū cù,บ้านเก่า,old house,0
b0000001-0000-0000-0000-000000000110,a0000001-0000-0000-0000-000000000098,路长,lōu dêng,ทางไกล,the road is long,0
b0000001-0000-0000-0000-000000000111,a0000001-0000-0000-0000-000000000099,路短,lōu dói,ทางสั้น,the road is short,0
b0000001-0000-0000-0000-000000000112,a0000001-0000-0000-0000-000000000100,人高,náng gao,คนสูง,person is tall,0
b0000001-0000-0000-0000-000000000113,a0000001-0000-0000-0000-000000000101,快行,kuài giân,เดินเร็ว,walk fast,0
b0000001-0000-0000-0000-000000000114,a0000001-0000-0000-0000-000000000102,慢慢来,bān bān lâi,ค่อยๆ มา,take your time,0
b0000001-0000-0000-0000-000000000115,a0000001-0000-0000-0000-000000000103,人多,náng zōi,คนเยอะ,many people,0
b0000001-0000-0000-0000-000000000116,a0000001-0000-0000-0000-000000000104,美人,suí náng,คนสวย,beautiful person,0
b0000001-0000-0000-0000-000000000117,a0000001-0000-0000-0000-000000000105,食饱,zia̍h bá,กินอิ่ม,full from eating,0
b0000001-0000-0000-0000-000000000118,a0000001-0000-0000-0000-000000000106,煮饭,zé būng,หุงข้าว,cook rice,0
b0000001-0000-0000-0000-000000000119,a0000001-0000-0000-0000-000000000107,食粥,zia̍h muê̍h,กินโจ๊ก,eat porridge,0
b0000001-0000-0000-0000-000000000120,a0000001-0000-0000-0000-000000000108,炒面,cá mī,ผัดบะหมี่,stir-fried noodles,0
b0000001-0000-0000-0000-000000000121,a0000001-0000-0000-0000-000000000109,煎鱼,zin hê,ทอดปลา,fry fish,0
b0000001-0000-0000-0000-000000000122,a0000001-0000-0000-0000-000000000111,猪肉丸,de ne̍b în,ลูกชิ้นหมู,pork ball,0
b0000001-0000-0000-0000-000000000123,a0000001-0000-0000-0000-000000000112,白切鸡,be̍h ciah goi,ไก่ต้ม,poached chicken,0
b0000001-0000-0000-0000-000000000124,a0000001-0000-0000-0000-000000000113,鸡卵炒,goi nēng cá,ไข่ผัด,fried egg,0
b0000001-0000-0000-0000-000000000125,a0000001-0000-0000-0000-000000000114,炒菜,cá cài,ผัดผัก,stir-fried vegetables,0
b0000001-0000-0000-0000-000000000126,a0000001-0000-0000-0000-000000000115,豆腐,dāo hū,เต้าหู้,tofu,0
b0000001-0000-0000-0000-000000000127,a0000001-0000-0000-0000-000000000116,下盐,hiǎ iâm,ใส่เกลือ,add salt,0
b0000001-0000-0000-0000-000000000128,a0000001-0000-0000-0000-000000000117,甜糖,diâm têng,น้ำตาลหวาน,sweet sugar,0
b0000001-0000-0000-0000-000000000129,a0000001-0000-0000-0000-000000000118,油炸,iû zà,ทอดน้ำมัน,deep fry,0
b0000001-0000-0000-0000-000000000130,a0000001-0000-0000-0000-000000000119,豆油鲜,dāo iû cian,ซีอิ๊วหอม,soy sauce is savory,0
b0000001-0000-0000-0000-000000000131,a0000001-0000-0000-0000-000000000120,食果子,zia̍h gueh zí,กินผลไม้,eat fruit,0
b0000001-0000-0000-0000-000000000132,a0000001-0000-0000-0000-000000000121,粿条汤,gueh diâo teng,ก๋วยเตี๋ยวน้ำ,flat noodle soup,0
b0000001-0000-0000-0000-000000000133,a0000001-0000-0000-0000-000000000122,薄饼卷,bo̍h bián géng,ม้วนปอเปี๊ยะ,roll a spring roll,0
b0000001-0000-0000-0000-000000000134,a0000001-0000-0000-0000-000000000123,蚝烙好食,ô lua̍h hó zia̍h,ออส่วนอร่อย,oyster omelette is delicious,0
b0000001-0000-0000-0000-000000000135,a0000001-0000-0000-0000-000000000124,鱼丸汤,hê în teng,น้ำลูกชิ้นปลา,fish ball soup,0
b0000001-0000-0000-0000-000000000136,a0000001-0000-0000-0000-000000000125,卤鹅好食,lóu ghô hó zia̍h,ห่านพะโล้อร่อย,braised goose is delicious,0
b0000001-0000-0000-0000-000000000137,a0000001-0000-0000-0000-000000000126,泡茶,pà dê,ชงชา,brew tea,0
b0000001-0000-0000-0000-000000000138,a0000001-0000-0000-0000-000000000126,功夫茶,gang hu dê,ชากังฟู,gongfu tea,1
b0000001-0000-0000-0000-000000000139,a0000001-0000-0000-0000-000000000127,饮水,lim zuí,ดื่มน้ำ,drink water,0
b0000001-0000-0000-0000-000000000140,a0000001-0000-0000-0000-000000000128,饮酒,lim ziú,ดื่มเหล้า,drink alcohol,0
b0000001-0000-0000-0000-000000000141,a0000001-0000-0000-0000-000000000129,牛奶甜,ghû ni diâm,นมหวาน,milk is sweet,0
b0000001-0000-0000-0000-000000000142,a0000001-0000-0000-0000-000000000130,饮咖啡,lim gia bi,ดื่มกาแฟ,drink coffee,0
b0000001-0000-0000-0000-000000000143,a0000001-0000-0000-0000-000000000131,豆浆热,dāo ziôn rua̍h,น้ำเต้าหู้ร้อน,soy milk is hot,0
b0000001-0000-0000-0000-000000000144,a0000001-0000-0000-0000-000000000132,汤好饮,teng hó lim,น้ำซุปอร่อย,the soup is good to drink,0
b0000001-0000-0000-0000-000000000145,a0000001-0000-0000-0000-000000000133,凉水好饮,liâng zuí hó lim,น้ำเย็นอร่อย,cold water is refreshing,0
b0000001-0000-0000-0000-000000000146,a0000001-0000-0000-0000-000000000134,烧水泡茶,sio zuí pà dê,ต้มน้ำชงชา,boil water to make tea,0
b0000001-0000-0000-0000-000000000147,a0000001-0000-0000-0000-000000000136,狗吠,gáo buǐ,สุนัขเห่า,dog barks,0
b0000001-0000-0000-0000-000000000148,a0000001-0000-0000-0000-000000000137,猫叫,niao giò,แมวร้อง,cat meows,0
b0000001-0000-0000-0000-000000000149,a0000001-0000-0000-0000-000000000139,牛食草,ghû zia̍h cáo,วัวกินหญ้า,cow eats grass,0
b0000001-0000-0000-0000-000000000150,a0000001-0000-0000-0000-000000000141,鸟飞,ziáo bue,นกบิน,bird flies,0
b0000001-0000-0000-0000-000000000151,a0000001-0000-0000-0000-000000000143,蛇走,zuâ záo,งูเลื้อย,snake slithers,0
b0000001-0000-0000-0000-000000000152,a0000001-0000-0000-0000-000000000144,卤鹅,lóu ghô,ห่านพะโล้,braised goose,0
b0000001-0000-0000-0000-000000000153,a0000001-0000-0000-0000-000000000145,烧鸭,sio ah,เป็ดย่าง,roast duck,0
b0000001-0000-0000-0000-000000000154,a0000001-0000-0000-0000-000000000149,虾丸,hôi în,ลูกชิ้นกุ้ง,shrimp ball,0
b0000001-0000-0000-0000-000000000155,a0000001-0000-0000-0000-000000000150,蟹肉,hoǐ ne̍b,เนื้อปู,crab meat,0
b0000001-0000-0000-0000-000000000156,a0000001-0000-0000-0000-000000000151,天光,tin geng,สว่าง/รุ่งเช้า,dawn / daybreak,0
b0000001-0000-0000-0000-000000000157,a0000001-0000-0000-0000-000000000152,落地,lo̍h dī,ตกลงพื้น,fall to the ground,0
b0000001-0000-0000-0000-000000000158,a0000001-0000-0000-0000-000000000153,日头,ri̍g tâo,ดวงอาทิตย์,the sun,0
b0000001-0000-0000-0000-000000000159,a0000001-0000-0000-0000-000000000154,月娘,ghue̍h niê,พระจันทร์,the moon,0
b0000001-0000-0000-0000-000000000160,a0000001-0000-0000-0000-000000000156,大风,duā huang,ลมแรง,strong wind,0
b0000001-0000-0000-0000-000000000161,a0000001-0000-0000-0000-000000000157,落雨,lo̍h hǒu,ฝนตก,it rains,0
b0000001-0000-0000-0000-000000000162,a0000001-0000-0000-0000-000000000157,雨大,hǒu duā,ฝนตกหนัก,heavy rain,1
b0000001-0000-0000-0000-000000000163,a0000001-0000-0000-0000-000000000158,上山,ziǒn suan,ขึ้นเขา,go up the mountain,0
b0000001-0000-0000-0000-000000000164,a0000001-0000-0000-0000-000000000159,海水,hái zuí,น้ำทะเล,sea water,0
b0000001-0000-0000-0000-000000000165,a0000001-0000-0000-0000-000000000161,花红,hue âng,ดอกไม้สีแดง,red flower,0
b0000001-0000-0000-0000-000000000166,a0000001-0000-0000-0000-000000000162,大树,duā ciū,ต้นไม้ใหญ่,big tree,0
b0000001-0000-0000-0000-000000000167,a0000001-0000-0000-0000-000000000163,火烧,hué sio,ไฟไหม้,fire burns,0
b0000001-0000-0000-0000-000000000168,a0000001-0000-0000-0000-000000000165,今日好天,gim ri̍g hó tin,วันนี้อากาศดี,today the weather is nice,0
b0000001-0000-0000-0000-000000000169,a0000001-0000-0000-0000-000000000166,昨日落雨,za ri̍g lo̍h hǒu,เมื่อวานฝนตก,it rained yesterday,0
b0000001-0000-0000-0000-000000000170,a0000001-0000-0000-0000-000000000167,明日来,ma ri̍g lâi,พรุ่งนี้มา,come tomorrow,0
b0000001-0000-0000-0000-000000000171,a0000001-0000-0000-0000-000000000168,早起食粥,zá kí zia̍h mue̍h,เช้ากินโจ๊ก,eat porridge in the morning,0
b0000001-0000-0000-0000-000000000172,a0000001-0000-0000-0000-000000000169,暗时返厝,àm sî déng cù,ค่ำกลับบ้าน,go home in the evening,0
b0000001-0000-0000-0000-000000000173,a0000001-0000-0000-0000-000000000174,新年好,sing nî hó,สวัสดีปีใหม่,happy new year,0
b0000001-0000-0000-0000-000000000174,a0000001-0000-0000-0000-000000000175,厝内,cù lǎi,ในบ้าน,inside the house,0
